t_prop_us,noise_pct,init_factor,warm_start,path_change_ack,path_factor,converged_ack,converged_rtt,detection_ack,detection_delta_ack,final_x_est_us,final_min_rtt_us,true_min_rtt_us,final_err_pct,acks_total,final_confirm_cnt,final_confirm_slow_cnt,trial
1000,0.0,5.0,True,,1.0,0,249,-1,-1,1000,1000,1000,0.0,5000,0,0,3
1000,0.0,5.0,True,,1.0,0,249,-1,-1,1000,1000,1000,0.0,5000,0,0,4
1000,0.0,10.0,True,,1.0,0,249,-1,-1,1000,1000,1000,0.0,5000,0,0,0
1000,0.0,10.0,True,,1.0,0,249,-1,-1,1000,1000,1000,0.0,5000,0,0,1
1000,0.0,10.0,True,,1.0,0,249,-1,-1,1000,1000,1000,0.0,5000,0,0,2
1000,0.0,10.0,True,,1.0,0,249,-1,-1,1000,1000,1000,0.0,5000,0,0,3
1000,0.0,10.0,True,,1.0,0,249,-1,-1,1000,1000,1000,0.0,5000,0,0,4
1000,0.5,1.0,False,,1.0,4,249,-1,-1,996,982,1000,0.4,5000,0,0,0
1000,0.5,1.0,False,,1.0,4,249,-1,-1,995,981,1000,0.5,5000,0,0,1
1000,0.5,1.0,False,,1.0,4,249,-1,-1,995,980,1000,0.5,5000,0,0,2
1000,0.5,1.0,False,,1.0,4,249,-1,-1,1005,982,1000,0.5,5000,0,0,3
1000,0.5,1.0,False,,1.0,4,249,-1,-1,998,981,1000,0.2,5000,0,0,4
1000,0.5,5.0,True,,1.0,0,249,-1,-1,989,981,1000,1.0999999999999999,5000,0,0,0
1000,0.5,5.0,True,,1.0,0,249,-1,-1,995,980,1000,0.5,5000,0,0,1
1000,0.5,5.0,True,,1.0,0,249,-1,-1,994,980,1000,0.6,5000,0,0,2
1000,0.5,5.0,True,,1.0,0,249,-1,-1,1001,983,1000,0.1,5000,0,0,3
1000,0.5,5.0,True,,1.0,0,249,-1,-1,996,981,1000,0.4,5000,0,0,4
1000,0.5,10.0,True,,1.0,0,249,-1,-1,999,982,1000,0.1,5000,0,0,0
1000,0.5,10.0,True,,1.0,0,249,-1,-1,991,981,1000,0.8999999999999999,5000,0,0,1
1000,0.5,10.0,True,,1.0,0,249,-1,-1,990,982,1000,1.0,5000,0,0,2
1000,0.5,10.0,True,,1.0,0,249,-1,-1,997,984,1000,0.3,5000,0,0,3
1000,0.5,10.0,True,,1.0,0,249,-1,-1,999,981,1000,0.1,5000,0,0,4
