t_prop_us,noise_pct,init_factor,warm_start,path_change_ack,path_factor,converged_ack,converged_rtt,detection_ack,detection_delta_ack,final_x_est_us,final_min_rtt_us,true_min_rtt_us,final_err_pct,acks_total,final_confirm_cnt,final_confirm_slow_cnt
50000,5.0,0.1,True,,1.0,25,499,-1,-1,48987,48602,50000,2.026,10000,0,0
50000,5.0,0.25,True,,1.0,11,499,-1,-1,49181,46919,50000,1.638,10000,0,2
50000,5.0,0.5,True,,1.0,5,499,-1,-1,51997,50630,50000,3.994,10000,0,0
50000,5.0,0.75,True,,1.0,2,499,-1,-1,53637,46677,50000,7.274,10000,1,3
50000,10.0,0.001,True,,1.0,59,499,-1,-1,49668,47519,50000,0.664,10000,0,0
50000,10.0,0.01,True,,1.0,41,499,-1,-1,44762,43777,50000,10.476,10000,0,1
50000,10.0,0.1,True,,1.0,19,499,-1,-1,46127,46127,50000,7.746,10000,0,0
50000,10.0,0.25,True,,1.0,11,499,-1,-1,52723,44679,50000,5.446,10000,2,3
50000,10.0,0.5,True,,1.0,5,499,-1,-1,52078,46416,50000,4.156,10000,1,1
50000,10.0,0.75,True,,1.0,3,499,-1,-1,44175,42701,50000,11.65,10000,0,3
50000,20.0,0.001,True,,1.0,69,499,-1,-1,38570,38570,50000,22.86,10000,0,0
50000,20.0,0.01,True,,1.0,39,499,-1,-1,43005,30447,50000,13.99,10000,3,3
50000,20.0,0.1,True,,1.0,26,499,-1,-1,48489,48489,50000,3.0220000000000002,10000,0,0
50000,20.0,0.25,True,,1.0,11,499,-1,-1,45033,45033,50000,9.934,10000,0,0
50000,20.0,0.5,True,,1.0,17,499,-1,-1,50272,35592,50000,0.544,10000,3,3
50000,20.0,0.75,True,,1.0,18,499,-1,-1,44443,44443,50000,11.114,10000,0,0
100000,0.0,0.001,True,,1.0,59,499,-1,-1,100000,100000,100000,0.0,10000,0,0
100000,0.0,0.01,True,,1.0,39,499,-1,-1,100000,100000,100000,0.0,10000,0,0
100000,0.0,0.1,True,,1.0,19,499,-1,-1,100000,100000,100000,0.0,10000,0,0
100000,0.0,0.25,True,,1.0,11,499,-1,-1,100000,100000,100000,0.0,10000,0,0
100000,0.0,0.5,True,,1.0,5,499,-1,-1,100000,100000,100000,0.0,10000,0,0
100000,0.0,0.75,True,,1.0,2,499,-1,-1,100000,100000,100000,0.0,10000,0,0
100000,0.5,0.001,True,,1.0,59,499,-1,-1,100661,98092,100000,0.661,10000,0,0
100000,0.5,0.01,True,,1.0,39,499,-1,-1,100132,97965,100000,0.132,10000,0,0
100000,0.5,0.1,True,,1.0,19,499,-1,-1,99623,97992,100000,0.377,10000,0,0
100000,0.5,0.25,True,,1.0,11,499,-1,-1,99838,98093,100000,0.16199999999999998,10000,0,0
100000,0.5,0.5,True,,1.0,5,499,-1,-1,100060,97884,100000,0.06,10000,0,0
100000,0.5,0.75,True,,1.0,2,499,-1,-1,100267,98068,100000,0.267,10000,0,0
100000,1.0,0.001,True,,1.0,59,499,-1,-1,100092,97297,100000,0.092,10000,0,3
100000,1.0,0.01,True,,1.0,39,499,-1,-1,100413,97374,100000,0.413,10000,0,1
100000,1.0,0.1,True,,1.0,19,499,-1,-1,100439,97448,100000,0.439,10000,0,0
100000,1.0,0.25,True,,1.0,11,499,-1,-1,98751,97480,100000,1.2489999999999999,10000,0,3
100000,1.0,0.5,True,,1.0,5,499,-1,-1,98743,97008,100000,1.257,10000,0,3
100000,1.0,0.75,True,,1.0,2,499,-1,-1,101109,97163,100000,1.109,10000,0,1
